datetime,data.carbonIntensity,data.fossilFuelPercentage,units.carbonIntensity
2023-04-30 10:00:00-04:00,32,4.14,gCO2eq/kWh
2023-04-30 09:00:00-04:00,26,2.63,gCO2eq/kWh
2023-04-30 08:00:00-04:00,25,2.61,gCO2eq/kWh
2023-04-30 04:00:00-04:00,17,0.92,gCO2eq/kWh
2023-04-30 03:00:00-04:00,17,0.88,gCO2eq/kWh
2023-04-30 00:00:00-04:00,39,5.61,gCO2eq/kWh
2023-04-29 21:00:00-04:00,40,5.77,gCO2eq/kWh
2023-04-29 20:00:00-04:00,40,5.78,gCO2eq/kWh
2023-04-29 19:00:00-04:00,40,5.75,gCO2eq/kWh
2023-04-29 18:00:00-04:00,44,6.419999999999999,gCO2eq/kWh
2023-04-29 16:00:00-04:00,41,5.76,gCO2eq/kWh
2023-04-29 14:00:00-04:00,39,5.49,gCO2eq/kWh
2023-04-29 13:00:00-04:00,31,3.71,gCO2eq/kWh
2023-04-29 12:00:00-04:00,32,3.9,gCO2eq/kWh
2023-04-29 11:00:00-04:00,30,3.58,gCO2eq/kWh
2023-04-29 10:00:00-04:00,29,3.4300000000000006,gCO2eq/kWh
2023-04-29 07:00:00-04:00,18,1.21,gCO2eq/kWh
2023-04-29 06:00:00-04:00,16,0.8500000000000001,gCO2eq/kWh
2023-04-29 04:00:00-04:00,16,0.8699999999999999,gCO2eq/kWh
2023-04-28 23:00:00-04:00,33,4.35,gCO2eq/kWh
2023-04-28 22:00:00-04:00,37,5.27,gCO2eq/kWh
2023-04-28 21:00:00-04:00,38,5.28,gCO2eq/kWh
2023-04-28 17:00:00-04:00,47,7.08,gCO2eq/kWh
2023-04-28 16:00:00-04:00,43,6.4,gCO2eq/kWh
2023-04-28 15:00:00-04:00,46,6.9099999999999975,gCO2eq/kWh
2023-04-28 13:00:00-04:00,54,8.51,gCO2eq/kWh
2023-04-28 12:00:00-04:00,56,8.92,gCO2eq/kWh
2023-04-28 11:00:00-04:00,56,8.91,gCO2eq/kWh
2023-04-28 08:00:00-04:00,48,7.46,gCO2eq/kWh
2023-04-28 07:00:00-04:00,42,6.329999999999999,gCO2eq/kWh
2023-04-28 06:00:00-04:00,42,6.32,gCO2eq/kWh
2023-04-28 06:00:00-04:00,34,4.68,gCO2eq/kWh
2023-04-28 04:00:00-04:00,24,2.57,gCO2eq/kWh
2023-04-28 00:00:00-04:00,49,7.670000000000001,gCO2eq/kWh
2023-04-27 23:00:00-04:00,59,9.71,gCO2eq/kWh
2023-04-27 22:00:00-04:00,57,9.13,gCO2eq/kWh
2023-04-27 21:00:00-04:00,63,10.51,gCO2eq/kWh
2023-04-27 19:00:00-04:00,66,11.13,gCO2eq/kWh
2023-04-27 18:00:00-04:00,70,11.83,gCO2eq/kWh
2023-04-27 17:00:00-04:00,69,11.58,gCO2eq/kWh
2023-04-27 16:00:00-04:00,67,11.28,gCO2eq/kWh
2023-04-27 13:00:00-04:00,62,10.08,gCO2eq/kWh
2023-04-27 12:00:00-04:00,81,14.17,gCO2eq/kWh
2023-04-27 09:00:00-04:00,79,13.69,gCO2eq/kWh
2023-04-26 13:00:00-04:00,70,11.89,gCO2eq/kWh
2023-04-26 12:00:00-04:00,76,13.06,gCO2eq/kWh
2023-04-26 11:00:00-04:00,75,12.990000000000002,gCO2eq/kWh
2023-04-26 10:00:00-04:00,79,13.699999999999998,gCO2eq/kWh
2023-04-26 09:00:00-04:00,79,13.83,gCO2eq/kWh
2023-04-26 08:00:00-04:00,61,10.02,gCO2eq/kWh
2023-04-26 04:00:00-04:00,36,4.79,gCO2eq/kWh
2023-04-26 03:00:00-04:00,34,4.43,gCO2eq/kWh
2023-04-26 02:00:00-04:00,38,5.27,gCO2eq/kWh
2023-04-26 01:00:00-04:00,81,14.16,gCO2eq/kWh
2023-04-26 00:00:00-04:00,74,12.85,gCO2eq/kWh
2023-04-25 20:00:00-04:00,60,9.9,gCO2eq/kWh
